bug_id,hunk_count,file_count
Chart_14,4,2
Chart_18,3,2
Cli_13,3,3
Cli_16,6,4
Cli_21,6,3
Cli_30,2,2
Cli_31,3,3
Cli_34,2,2
Cli_36,3,2
Closure_30,4,2
Closure_34,3,2
Closure_37,2,2
Closure_47,2,2
Closure_54,3,2
Closure_72,2,2
Closure_79,2,2
Closure_89,2,2
Closure_90,2,2
Closure_103,2,2
Closure_106,2,2
Closure_110,6,2
Closure_134,6,2
Closure_135,3,2
Closure_136,2,2
Closure_137,10,3
Closure_138,3,2
Closure_141,3,2
Closure_142,3,2
Closure_143,2,2
Closure_144,9,4
Closure_147,2,2
Closure_148,16,2
Closure_149,7,4
Closure_153,12,2
Closure_154,6,2
Closure_155,7,3
Closure_157,7,3
Closure_158,11,3
Closure_162,6,2
Closure_163,18,2
Closure_165,10,4
Closure_167,6,2
Closure_169,21,6
Closure_171,2,2
Closure_173,2,2
Closure_174,7,3
Codec_1,3,3
Codec_8,2,2
Codec_13,3,3
Codec_14,5,6
Compress_4,4,4
Compress_29,14,7
Compress_33,3,2
Compress_42,2,2
Csv_13,2,2
Gson_4,12,2
Gson_9,3,3
JacksonCore_1,3,2
JacksonCore_2,8,2
JacksonCore_9,6,3
JacksonCore_12,8,2
JacksonCore_18,4,3
JacksonCore_19,2,2
JacksonCore_24,4,2
JacksonDatabind_10,5,2
JacksonDatabind_13,2,2
JacksonDatabind_15,11,5
JacksonDatabind_22,12,2
JacksonDatabind_25,4,4
JacksonDatabind_30,6,2
JacksonDatabind_38,6,3
JacksonDatabind_48,2,2
JacksonDatabind_52,2,2
JacksonDatabind_53,7,2
JacksonDatabind_59,4,4
JacksonDatabind_61,3,2
JacksonDatabind_65,3,2
JacksonDatabind_73,4,2
JacksonDatabind_79,4,3
JacksonDatabind_90,2,2
JacksonDatabind_95,4,2
JacksonDatabind_103,26,16
JacksonDatabind_109,5,2
JacksonDatabind_111,9,7
Jsoup_3,13,3
Jsoup_14,2,2
Jsoup_21,3,2
Jsoup_22,6,3
Jsoup_23,2,2
Jsoup_28,6,3
Jsoup_31,3,3
Jsoup_52,4,3
Jsoup_56,10,5
Jsoup_58,4,3
Jsoup_60,2,2
Jsoup_63,5,2
Jsoup_65,3,2
Jsoup_71,3,3
Jsoup_83,4,2
Jsoup_87,47,4
Jsoup_91,3,2
Jsoup_92,8,5
JxPath_1,2,2
JxPath_4,7,2
JxPath_7,7,5
JxPath_9,5,3
JxPath_11,5,2
JxPath_13,11,2
JxPath_16,2,2
JxPath_17,5,2
JxPath_19,3,2
Math_1,2,2
Math_4,2,2
Math_6,12,7
Math_14,2,2
Math_22,2,2
Math_71,2,2
Math_77,2,2
Math_98,2,2
Mockito_14,4,2
Mockito_16,3,2
Mockito_17,4,2
Mockito_19,9,5
Mockito_30,2,2
Time_1,2,2
Time_2,3,2
Time_12,4,2
Time_26,8,3
