model,Nucleus,Cluster,Orbit,Sprawl,Fragment,Nucleus_abs,Cluster_abs,Orbit_abs,Sprawl_abs,Fragment_abs
rq2/meta.llama3-1-405b-instruct-v1:0,1.69,0.54,5.97,0.0,0.0,1,1,4,0,0
rq2/mistral.mistral-7b-instruct-v0:2,1.69,1.08,0.0,4.0,0.0,1,2,0,2,0
rq2/mistral.mistral-large-2402-v1:0,13.56,6.49,7.46,10.0,0.0,8,12,5,5,0
rq2/mistral.mistral-large-2407-v1:0,20.34,11.35,5.97,16.0,0.0,12,21,4,8,0
rq2/mistral.mixtral-8x7b-instruct-v0:1,1.69,1.62,2.99,0.0,0.0,1,3,2,0,0
rq2/mode_4_model_gemini-2.5-flash-preview-04-17,18.64,12.43,14.93,12.0,0.0,11,23,10,6,0
rq2/mode_4_model_gpt-4.1-2025-04-14,38.98,20.0,17.91,20.0,0.0,23,37,12,10,0
rq2/mode_4_model_o4-mini-2025-04-16,49.15,23.78,23.88,22.0,0.0,29,44,16,11,0
rq2/us.amazon.nova-pro-v1:0,11.86,8.11,7.46,12.0,0.0,7,15,5,6,0
rq2/us.meta.llama3-2-90b-instruct-v1:0,25.42,10.27,10.45,8.0,0.0,15,19,7,4,0
rq2/us.meta.llama3-3-70b-instruct-v1:0,27.12,9.73,11.94,8.0,0.0,16,18,8,4,0
rq3/ada-ast_mode_4_model_o4-mini-2025-04-16,37.29,24.32,17.91,18.0,0.0,22,45,12,9,0
rq3/ada-ast_us.meta.llama3-3-70b-instruct-v1:0,18.64,10.27,10.45,8.0,0.0,11,19,7,4,0
rq3/ada-rag_mode_4_model_o4-mini-2025-04-16,54.24,30.81,22.39,20.0,18.18,32,57,15,10,2
rq3/ada-rag_us.meta.llama3-3-70b-instruct-v1:0,33.9,18.92,17.91,14.0,9.09,20,35,12,7,1
rq3/ast_mode_4_model_o4-mini-2025-04-16,47.46,29.19,19.4,18.0,18.18,28,54,13,9,2
rq3/ast_us.meta.llama3-3-70b-instruct-v1:0,30.51,14.05,20.9,10.0,9.09,18,26,14,5,1
rq3/emb-ast_mode_4_model_o4-mini-2025-04-16,47.46,24.32,13.43,18.0,0.0,28,45,9,9,0
rq3/emb-ast_us.meta.llama3-3-70b-instruct-v1:0,23.73,9.19,10.45,8.0,0.0,14,17,7,4,0
rq3/emb-rag_mode_4_model_o4-mini-2025-04-16,52.54,30.27,23.88,18.0,18.18,31,56,16,9,2
rq3/emb-rag_us.meta.llama3-3-70b-instruct-v1:0,37.29,15.14,17.91,12.0,9.09,22,28,12,6,1
rq3/rag_mode_4_model_o4-mini-2025-04-16,50.85,27.03,23.88,28.0,9.09,30,50,16,14,1
rq3/rag_us.meta.llama3-3-70b-instruct-v1:0,32.2,16.76,17.91,14.0,9.09,19,31,12,7,1
rq4/class_mode_4_model_o4-mini-2025-04-16,33.9,21.62,10.45,24.0,9.09,20,40,7,12,1
rq4/class_us.meta.llama3-3-70b-instruct-v1:0,20.34,11.89,5.97,10.0,0.0,12,22,4,5,0
rq4/file_mode_4_model_o4-mini-2025-04-16,37.29,33.51,13.43,22.0,9.09,22,62,9,11,1
rq4/file_us.meta.llama3-3-70b-instruct-v1:0,18.64,17.3,7.46,20.0,0.0,11,32,5,10,0
rq4/method_mode_4_model_o4-mini-2025-04-16,49.15,23.78,23.88,22.0,0.0,29,44,16,11,0
rq4/method_us.meta.llama3-3-70b-instruct-v1:0,27.12,9.73,11.94,8.0,0.0,16,18,8,4,0
rq5/mode_4_model_o4-mini-2025-04-16,64.41,33.51,28.36,22.0,27.27,38,62,19,11,3
rq5/us.meta.llama3-3-70b-instruct-v1:0,42.37,21.62,25.37,14.0,18.18,25,40,17,7,2
