model,status,min_div,max_div,mean_div,median_div,std_div,p_value,spearman_rho,Nucleus_count,Nucleus_pct,Cluster_count,Cluster_pct,Orbit_count,Orbit_pct,Sprawl_count,Sprawl_pct,Fragment_count,Fragment_pct
ada-rag_mode_4_model_o4-mini-2025-04-16,solved,0.0,0.9582,0.3114,0.3394,0.2066,3.33e-12,-0.36,32,54.24,57,30.81,15,22.39,10,20.0,2,18.18
ada-rag_mode_4_model_o4-mini-2025-04-16,unsolved,0.0,1.5986,0.5371,0.5006,0.3019,,,27,45.76,128,69.19,52,77.61,40,80.0,9,81.82
ada-rag_us.meta.llama3-3-70b-instruct-v1:0,solved,0.0,0.7764,0.2751,0.277,0.2076,7.12e-11,-0.34,20,33.9,35,18.92,12,17.91,7,14.0,1,9.09
ada-rag_us.meta.llama3-3-70b-instruct-v1:0,unsolved,0.0,1.5986,0.5151,0.4701,0.294,,,39,66.1,150,81.08,55,82.09,43,86.0,10,90.91
file_mode_4_model_o4-mini-2025-04-16,solved,0.0,1.0808,0.4004,0.3902,0.2271,1.48e-02,-0.13,22,37.29,62,33.51,9,13.43,11,22.0,1,9.09
file_mode_4_model_o4-mini-2025-04-16,unsolved,0.0,1.5986,0.4928,0.463,0.3139,,,37,62.71,123,66.49,58,86.57,39,78.0,10,90.91
file_us.meta.llama3-3-70b-instruct-v1:0,solved,0.0,1.0808,0.3618,0.3582,0.2289,3.80e-03,-0.15,11,18.64,32,17.3,5,7.46,10,20.0,0,0.0
file_us.meta.llama3-3-70b-instruct-v1:0,unsolved,0.0,1.5986,0.4861,0.4468,0.3016,,,48,81.36,153,82.7,62,92.54,40,80.0,11,100.0
mode_4_model_o4-mini-2025-04-16,solved,0.0,0.9582,0.2954,0.3134,0.2016,7.58e-19,-0.46,38,64.41,62,33.51,19,28.36,11,22.0,3,27.27
mode_4_model_o4-mini-2025-04-16,unsolved,0.0,1.5986,0.5621,0.5339,0.2954,,,21,35.59,123,66.49,48,71.64,39,78.0,8,72.73
us.meta.llama3-3-70b-instruct-v1:0,solved,0.0,0.9582,0.2924,0.3044,0.2046,8.38e-12,-0.35,25,42.37,40,21.62,17,25.37,7,14.0,2,18.18
us.meta.llama3-3-70b-instruct-v1:0,unsolved,0.0,1.5986,0.5232,0.4892,0.2975,,,34,57.63,145,78.38,50,74.63,43,86.0,9,81.82
