bug_id,divergence,proximity_class
Chart-18,0.6569,Orbit
Cli-7,0.2329,Cluster
Closure-105,0.2015,Nucleus
Closure-143,0.3635,Orbit
Closure-171,0.3635,Orbit
Closure-3,0.6851,Cluster
Closure-41,0.3579,Cluster
Closure-45,0.6311,Cluster
Closure-50,0.3201,Nucleus
Closure-75,0.3633,Cluster
Compress-35,0.3817,Nucleus
Csv-13,0.3325,Orbit
Csv-8,0.2832,Cluster
Gson-14,0.0926,Cluster
Gson-9,0.4268,Sprawl
JacksonCore-19,0.0000,Orbit
JacksonCore-21,0.3138,Nucleus
JacksonDatabind-25,0.5261,Sprawl
JacksonDatabind-32,0.4673,Cluster
JacksonDatabind-6,0.2770,Nucleus
JacksonDatabind-77,0.2107,Cluster
JacksonDatabind-8,0.1345,Nucleus
Jsoup-50,0.2212,Nucleus
Jsoup-81,0.4940,Cluster
Jsoup-83,0.7004,Orbit
Lang-19,0.1416,Nucleus
Lang-36,0.4074,Cluster
Lang-41,0.3382,Cluster
Math-24,0.0000,Nucleus
Math-29,0.2085,Cluster
Math-37,0.1391,Cluster
Math-49,0.0000,Cluster
Math-52,0.1243,Nucleus
Math-61,0.4455,Cluster
Math-78,0.0000,Nucleus
Math-84,0.2806,Nucleus
Math-92,0.3219,Cluster
Math-99,0.3754,Cluster
Time-13,0.6217,Cluster
TOTAL,0.3190,Orbit:6; Cluster:19; Nucleus:12; Sprawl:2
